"Step","buffer_bs128_0408200148 - Episode Reward","buffer_bs128_0408200148 - Episode Reward__MIN","buffer_bs128_0408200148 - Episode Reward__MAX"
"289","20","20","20"
"290","8","8","8"
"291","20","20","20"
"292","6","6","6"
"293","-4","-4","-4"
"294","20","20","20"
"295","20","20","20"
"296","6","6","6"
"297","-17","-17","-17"
"298","7","7","7"
"299","7","7","7"
"300","7","7","7"
"301","-1","-1","-1"
"302","20","20","20"
"303","10","10","10"
"304","20","20","20"
"305","5","5","5"
"306","8","8","8"
"307","3","3","3"
"308","20","20","20"
"309","5","5","5"
"310","1","1","1"
"311","-2","-2","-2"
"312","6","6","6"
"313","7","7","7"
"314","20","20","20"
"315","10","10","10"
"316","-1","-1","-1"
"317","9","9","9"
"318","1","1","1"
"319","7","7","7"
"320","3","3","3"
"321","20","20","20"
"322","20","20","20"
"323","20","20","20"
"324","6","6","6"
"325","-2","-2","-2"
"326","7","7","7"
"327","6","6","6"
"328","6","6","6"
"329","3","3","3"
"330","-4","-4","-4"
"331","-1","-1","-1"
"332","10","10","10"
"333","4","4","4"
"334","20","20","20"
"335","19","19","19"
"336","5","5","5"
"337","-5","-5","-5"
"338","4","4","4"
"339","20","20","20"
"340","9","9","9"
"341","7","7","7"
"342","8","8","8"
"343","17","17","17"
"344","14","14","14"
"345","20","20","20"
"346","-4","-4","-4"
"347","20","20","20"
"348","-3","-3","-3"
"349","5","5","5"
"350","-2","-2","-2"
"351","4","4","4"
"352","-1","-1","-1"
"353","-7","-7","-7"
"354","-3","-3","-3"
"355","13","13","13"
"356","-1","-1","-1"
"357","6","6","6"
"358","8","8","8"
"359","10","10","10"
"360","11","11","11"
"361","9","9","9"
"362","6","6","6"
"363","5","5","5"
"364","6","6","6"
"365","-1","-1","-1"
"366","4","4","4"
"367","4","4","4"
"368","8","8","8"
"369","5","5","5"
"370","6","6","6"
"371","20","20","20"
"372","-1","-1","-1"
"373","-7","-7","-7"
"374","11","11","11"
"375","3","3","3"
"376","9","9","9"
"377","-9","-9","-9"
"378","7","7","7"
"379","-1","-1","-1"
"380","11","11","11"
"381","11","11","11"
"382","7","7","7"
"383","2","2","2"
"384","11","11","11"
