"Step","buffer_PongNoFrameskip-v4_seed0_0407112058 - Episode Reward","buffer_PongNoFrameskip-v4_seed0_0407112058 - Episode Reward__MIN","buffer_PongNoFrameskip-v4_seed0_0407112058 - Episode Reward__MAX"
"0","10","10","10"
"1","5","5","5"
"2","9","9","9"
"3","13","13","13"
"4","20","20","20"
"5","4","4","4"
"6","20","20","20"
"7","8","8","8"
"8","14","14","14"
"9","6","6","6"
"10","14","14","14"
"11","5","5","5"
"12","10","10","10"
"13","13","13","13"
"14","12","12","12"
"15","-7","-7","-7"
"16","14","14","14"
"17","13","13","13"
"18","14","14","14"
"19","20","20","20"
"20","14","14","14"
"21","6","6","6"
"22","20","20","20"
"23","3","3","3"
"24","20","20","20"
"25","9","9","9"
"26","10","10","10"
"27","10","10","10"
"28","-4","-4","-4"
"29","11","11","11"
"30","-4","-4","-4"
"31","8","8","8"
"32","20","20","20"
"33","20","20","20"
"34","12","12","12"
"35","10","10","10"
"36","8","8","8"
"37","13","13","13"
"38","11","11","11"
"39","9","9","9"
"40","5","5","5"
"41","20","20","20"
"42","19","19","19"
"43","7","7","7"
"44","6","6","6"
"45","18","18","18"
"46","4","4","4"
"47","-1","-1","-1"
"48","11","11","11"
"49","15","15","15"
"50","16","16","16"
"51","-7","-7","-7"
"52","7","7","7"
"53","4","4","4"
"54","10","10","10"
"55","20","20","20"
"56","13","13","13"
"57","4","4","4"
"58","16","16","16"
"59","10","10","10"
"60","3","3","3"
"61","20","20","20"
"62","11","11","11"
"63","5","5","5"
"64","14","14","14"
"65","9","9","9"
"66","7","7","7"
"67","15","15","15"
"68","17","17","17"
"69","19","19","19"
"70","8","8","8"
"71","5","5","5"
"72","20","20","20"
"73","9","9","9"
"74","14","14","14"
"75","20","20","20"
"76","5","5","5"
"77","4","4","4"
"78","4","4","4"
"79","11","11","11"
"80","17","17","17"
"81","19","19","19"
"82","13","13","13"
"83","11","11","11"
"84","7","7","7"
"85","11","11","11"
"86","11","11","11"
"87","13","13","13"
"88","12","12","12"
"89","13","13","13"
"90","8","8","8"
"91","1","1","1"
"92","13","13","13"
"93","16","16","16"
"94","-3","-3","-3"
"95","5","5","5"
"96","21","21","21"
"97","6","6","6"
"98","4","4","4"
"99","-3","-3","-3"
"100","15","15","15"
"101","7","7","7"
"102","14","14","14"
"103","-1","-1","-1"
"104","12","12","12"
"105","20","20","20"
"106","10","10","10"
"107","20","20","20"
"108","7","7","7"
"109","1","1","1"
"110","14","14","14"
"111","9","9","9"
"112","20","20","20"
"113","-8","-8","-8"
"114","8","8","8"
"115","14","14","14"
"116","8","8","8"
"117","9","9","9"
"118","8","8","8"
"119","20","20","20"
