"Step","buffer_PongNoFrameskip-v4_seed0_0407214148 - Episode Reward","buffer_PongNoFrameskip-v4_seed0_0407214148 - Episode Reward__MIN","buffer_PongNoFrameskip-v4_seed0_0407214148 - Episode Reward__MAX"
"0","-1","-1","-1"
"1","-9","-9","-9"
"2","-1","-1","-1"
"3","-6","-6","-6"
"4","11","11","11"
"5","2","2","2"
"6","-1","-1","-1"
"7","-4","-4","-4"
"8","3","3","3"
"9","-3","-3","-3"
"10","8","8","8"
"11","11","11","11"
"12","-4","-4","-4"
"13","7","7","7"
"14","1","1","1"
"15","12","12","12"
"16","4","4","4"
"17","-6","-6","-6"
"18","-6","-6","-6"
"19","-5","-5","-5"
"20","10","10","10"
"21","11","11","11"
"22","3","3","3"
"23","11","11","11"
"24","-1","-1","-1"
"25","11","11","11"
"26","-3","-3","-3"
"27","-2","-2","-2"
"28","-7","-7","-7"
"29","2","2","2"
"30","10","10","10"
"31","-10","-10","-10"
"32","-1","-1","-1"
"33","-5","-5","-5"
"34","-5","-5","-5"
"35","-3","-3","-3"
"36","11","11","11"
"37","11","11","11"
"38","-4","-4","-4"
"39","1","1","1"
"40","11","11","11"
"41","11","11","11"
"42","-6","-6","-6"
"43","2","2","2"
"44","3","3","3"
"45","8","8","8"
"46","7","7","7"
"47","11","11","11"
"48","6","6","6"
"49","5","5","5"
"50","6","6","6"
"51","-8","-8","-8"
"52","4","4","4"
"53","11","11","11"
"54","11","11","11"
"55","4","4","4"
"56","8","8","8"
"57","2","2","2"
"58","11","11","11"
"59","1","1","1"
"60","6","6","6"
"61","9","9","9"
"62","11","11","11"
"63","11","11","11"
"64","11","11","11"
"65","3","3","3"
"66","9","9","9"
"67","11","11","11"
"68","2","2","2"
"69","-7","-7","-7"
"70","-3","-3","-3"
"71","6","6","6"
"72","-4","-4","-4"
"73","14","14","14"
"74","7","7","7"
"75","5","5","5"
"76","9","9","9"
"77","12","12","12"
"78","-3","-3","-3"
"79","11","11","11"
"80","-3","-3","-3"
"81","-2","-2","-2"
"82","10","10","10"
"83","4","4","4"
"84","1","1","1"
"85","3","3","3"
"86","1","1","1"
"87","-3","-3","-3"
"88","11","11","11"
"89","-9","-9","-9"
"90","3","3","3"
"91","6","6","6"
"92","-6","-6","-6"
"93","11","11","11"
"94","-9","-9","-9"
"95","2","2","2"
"96","7","7","7"
"97","-4","-4","-4"
"98","7","7","7"
"99","1","1","1"
"100","11","11","11"
"101","-3","-3","-3"
"102","11","11","11"
"103","7","7","7"
"104","13","13","13"
"105","11","11","11"
"106","8","8","8"
"107","-1","-1","-1"
"108","5","5","5"
"109","10","10","10"
"110","-4","-4","-4"
"111","2","2","2"
"112","10","10","10"
"113","6","6","6"
